,date,location,ratio
78662,2020/10/5,North Carolina,0.00124792
78552,2020/10/6,North Carolina,0.025125628
78442,2020/10/7,North Carolina,0.013082156
78332,2020/10/8,North Carolina,0.011720385
78222,2020/10/9,North Carolina,0.011892963
78112,2020/10/10,North Carolina,0.008170676
78002,2020/10/11,North Carolina,0.003115265
77892,2020/10/12,North Carolina,0.005351171
77782,2020/10/13,North Carolina,0.028042625
77672,2020/10/14,North Carolina,0.016751269
77562,2020/10/15,North Carolina,0.006730008
77452,2020/10/16,North Carolina,0.014476615
77342,2020/10/17,North Carolina,0.008551308
77232,2020/10/18,North Carolina,0.002862595
77122,2020/10/19,North Carolina,0.005574913
77012,2020/10/20,North Carolina,0.030491599
76902,2020/10/21,North Carolina,0.024298056
76792,2020/10/22,North Carolina,0.019518272
76682,2020/10/23,North Carolina,0.014177694
76572,2020/10/24,North Carolina,0.010327022
76462,2020/10/25,North Carolina,0.007696862
76352,2020/10/26,North Carolina,0.008370261
76242,2020/10/27,North Carolina,0.016551724
76132,2020/10/28,North Carolina,0.017473118
76022,2020/10/29,North Carolina,0.011216264
75912,2020/10/30,North Carolina,0.016714083
75802,2020/10/31,North Carolina,0.017871018
75692,2020/11/1,North Carolina,0.002630195
75582,2020/11/2,North Carolina,0.004517222
75472,2020/11/3,North Carolina,0.031192661
75362,2020/11/4,North Carolina,0.020587114
75252,2020/11/5,North Carolina,0.012627986
75142,2020/11/6,North Carolina,0.012354152
75032,2020/11/7,North Carolina,0.008610086
74922,2020/11/8,North Carolina,0.000535332
74812,2020/11/9,North Carolina,0.004778973
74702,2020/11/10,North Carolina,0.01575067
74592,2020/11/11,North Carolina,0.014415781
74482,2020/11/12,North Carolina,0.002183406
74372,2020/11/13,North Carolina,0.007401636
74262,2020/11/14,North Carolina,0.010608424
74152,2020/11/15,North Carolina,0.017388087
74042,2020/11/16,North Carolina,0.004470426
73932,2020/11/17,North Carolina,0.011790258
73822,2020/11/18,North Carolina,0.012362268
73712,2020/11/19,North Carolina,0.012058824
73602,2020/11/20,North Carolina,0.010084804
73492,2020/11/21,North Carolina,0.007533574
73382,2020/11/22,North Carolina,0.006907137
73272,2020/11/23,North Carolina,0.005206396
73162,2020/11/24,North Carolina,0.009758603
73052,2020/11/25,North Carolina,0.013888889
72942,2020/11/26,North Carolina,0
72832,2020/11/27,North Carolina,0.008382118
72722,2020/11/28,North Carolina,0.003010033
72612,2020/11/29,North Carolina,0.008645533
72502,2020/11/30,North Carolina,0.005977496
72392,2020/12/1,North Carolina,0.007129147
72282,2020/12/2,North Carolina,0.021483376
72172,2020/12/3,North Carolina,0.008212147
72062,2020/12/4,North Carolina,0.00880069
71952,2020/12/5,North Carolina,0.00914037
71842,2020/12/6,North Carolina,0.004952077
71732,2020/12/7,North Carolina,0.004187605
71622,2020/12/8,North Carolina,0.009314141
71512,2020/12/9,North Carolina,0.008136483
71402,2020/12/10,North Carolina,0.008260196
71292,2020/12/11,North Carolina,0.005539773
71182,2020/12/12,North Carolina,0.007499063
71072,2020/12/13,North Carolina,0.003791469
70962,2020/12/14,North Carolina,0.008685353
70852,2020/12/15,North Carolina,0.004836976
70742,2020/12/16,North Carolina,0.016442688
70632,2020/12/17,North Carolina,0.017609078
70522,2020/12/18,North Carolina,0.005499154
70412,2020/12/19,North Carolina,0.009097525
70302,2020/12/20,North Carolina,0.005983182
70192,2020/12/21,North Carolina,0.005605865
70082,2020/12/22,North Carolina,0.008470798
69972,2020/12/23,North Carolina,0.011468236
69862,2020/12/24,North Carolina,0.014705882
69752,2020/12/25,North Carolina,0
69642,2020/12/26,North Carolina,0.009211077
69532,2020/12/27,North Carolina,0.006605505
69422,2020/12/28,North Carolina,0.001981942
69312,2020/12/29,North Carolina,0.006518319
69202,2020/12/30,North Carolina,0.017279115
69092,2020/12/31,North Carolina,0.005210084
68982,2021/1/1,North Carolina,0.002752925
68872,2021/1/2,North Carolina,0.007140173
68762,2021/1/3,North Carolina,0.005641219
68652,2021/1/4,North Carolina,0.005474993
68542,2021/1/5,North Carolina,0.012716579
68432,2021/1/6,North Carolina,0.010806578
68322,2021/1/7,North Carolina,0.010646316
68212,2021/1/8,North Carolina,0.012248203
68102,2021/1/9,North Carolina,0.008921075
67992,2021/1/10,North Carolina,0.016044606
67882,2021/1/11,North Carolina,0.003315481
67772,2021/1/12,North Carolina,0.009745127
67662,2021/1/13,North Carolina,0.020481022
67552,2021/1/14,North Carolina,0.010440309
67442,2021/1/15,North Carolina,0.012145749
67332,2021/1/16,North Carolina,0.007566801
67222,2021/1/17,North Carolina,0.00983954
67112,2021/1/18,North Carolina,-0.022813688
67002,2021/1/19,North Carolina,0.006868858
66892,2021/1/20,North Carolina,0.009115419
66782,2021/1/21,North Carolina,0.022033898
66672,2021/1/22,North Carolina,0.012273902
66562,2021/1/23,North Carolina,0.017632242
66452,2021/1/24,North Carolina,0.020512821
66342,2021/1/25,North Carolina,0.007309098
66232,2021/1/26,North Carolina,0.013805389
66122,2021/1/27,North Carolina,0.024499796
66012,2021/1/28,North Carolina,0.020710059
65902,2021/1/29,North Carolina,0.01624163
65792,2021/1/30,North Carolina,0.003194888
65682,2021/1/31,North Carolina,0.01625857
65572,2021/2/1,North Carolina,0.003076923
65462,2021/2/2,North Carolina,0.026490066
