,date,location,ratio
36104,2021/10/26,Louisiana,0.034782609
35992,2021/10/27,Louisiana,0.012987013
35880,2021/10/28,Louisiana,0.038696538
35768,2021/10/29,Louisiana,0.091286307
35656,2021/10/30,Louisiana,0
35544,2021/10/31,Louisiana,0
35432,2021/11/1,Louisiana,0.005232178
35320,2021/11/2,Louisiana,0.040650407
35208,2021/11/3,Louisiana,0.04494382
35096,2021/11/4,Louisiana,0.019354839
34984,2021/11/5,Louisiana,0.033457249
34872,2021/11/6,Louisiana,0
34760,2021/11/7,Louisiana,0
34648,2021/11/8,Louisiana,0.008641975
34536,2021/11/9,Louisiana,0.056962025
34424,2021/11/10,Louisiana,0.026262626
34312,2021/11/11,Louisiana,0
34200,2021/11/12,Louisiana,0.031680441
34088,2021/11/13,Louisiana,0
33976,2021/11/14,Louisiana,0
33864,2021/11/15,Louisiana,0.014861996
33752,2021/11/16,Louisiana,0.019148936
33640,2021/11/17,Louisiana,0.0256
33528,2021/11/18,Louisiana,0.024017467
33416,2021/11/19,Louisiana,0.029106029
33304,2021/11/20,Louisiana,0
33192,2021/11/21,Louisiana,0
33080,2021/11/22,Louisiana,0.007032349
32968,2021/11/23,Louisiana,0.020802377
32856,2021/11/24,Louisiana,0.026706231
32744,2021/11/25,Louisiana,0
32632,2021/11/26,Louisiana,0
32520,2021/11/27,Louisiana,0
32408,2021/11/28,Louisiana,0
32296,2021/11/29,Louisiana,0.013556619
32184,2021/11/30,Louisiana,0.01188455
32072,2021/12/1,Louisiana,0.007423118
31960,2021/12/2,Louisiana,0.012684989
31848,2021/12/3,Louisiana,0.025052192
31736,2021/12/4,Louisiana,0
31624,2021/12/5,Louisiana,0
31512,2021/12/6,Louisiana,0.013221154
31400,2021/12/7,Louisiana,0.0125
31288,2021/12/8,Louisiana,0.023224044
31176,2021/12/9,Louisiana,0.013186813
31064,2021/12/10,Louisiana,0.017636684
30952,2021/12/11,Louisiana,0
30840,2021/12/12,Louisiana,0
30728,2021/12/13,Louisiana,0.005977797
30616,2021/12/14,Louisiana,0.022033898
30504,2021/12/15,Louisiana,0.017730496
30392,2021/12/16,Louisiana,0.005853659
30280,2021/12/17,Louisiana,0.005449591
30168,2021/12/18,Louisiana,0
30056,2021/12/19,Louisiana,0
29944,2021/12/20,Louisiana,0.003405995
29832,2021/12/21,Louisiana,0.001735107
29720,2021/12/22,Louisiana,0.003628118
29608,2021/12/23,Louisiana,0.002821869
29496,2021/12/24,Louisiana,0
29384,2021/12/25,Louisiana,0
29272,2021/12/26,Louisiana,0
29160,2021/12/27,Louisiana,0.001397567
29048,2021/12/28,Louisiana,0.001854857
28936,2021/12/29,Louisiana,0.000639795
28824,2021/12/30,Louisiana,0.000160424
